camera_id,Estimated_num_group
B1-1,0.08938201524136286
C2-1,4.037329656509482
C2-2,9.393317194328453
C3-1,1.0893820152413616
C3-2,1.1714303821051741
D4-1,2.1074921968503237
D5-1,1.0395616988602985
E2-1,1.3231996998743816
E4-2,1.0893820152413618
E5-1,2.7879439482700947
F2-1,0.09682720115032405
F3-1,4.54529491741705
F4-1,2.095413874599483
F5-1,1.0411315023289716
G5-2,3.2724707605957666
G5-3,4.272470760595767
G6-1,1.521608099395784
G6-2,3.4060372474700573
H1-1,1.6732008226816506
H4-1,1.0893820152413616
H5-1,3.0189053493301334
H6-2,1.1781423189871654
H7-1,2.005710320543455
I2-1,4.544572098950307
I3-1,2.079045660982731
I5-3,1.1714303821051768
J2-1,2.4737169781846737
J4-1,4.1556605512949885
K3-1,7.303117022078783
K5-1,3.9135833081450624
L3-1,30.910580109743147
