group_id,check,camera_id,date,time,count_species,time_first_photo_in_group,group_size,num_image_per_group,n_group_per_day
12,April_Check,C2-1,2014-02-07,15:04:53,1,0.6283912037037037,1,4,1
12,April_Check,C2-1,2014-02-07,15:04:55,1,0.6283912037037037,1,4,1
12,April_Check,C2-1,2014-02-07,15:04:55,1,0.6283912037037037,1,4,1
12,April_Check,C2-1,2014-02-07,15:04:57,1,0.6283912037037037,1,4,1
13,April_Check,C2-1,2014-02-20,14:56:38,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:56:39,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:56:39,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:56:40,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:56:41,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:57:09,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:57:10,1,0.622662037037037,1,8,2
13,April_Check,C2-1,2014-02-20,14:57:10,1,0.622662037037037,1,8,2
14,April_Check,C2-1,2014-02-20,16:54:40,1,0.7046296296296296,2,5,2
14,April_Check,C2-1,2014-02-20,16:54:41,1,0.7046296296296296,2,5,2
14,April_Check,C2-1,2014-02-20,16:54:42,2,0.7046296296296296,2,5,2
14,April_Check,C2-1,2014-02-20,16:54:42,1,0.7046296296296296,2,5,2
14,April_Check,C2-1,2014-02-20,16:54:43,2,0.7046296296296296,2,5,2
15,April_Check,C2-1,2014-03-10,19:14:53,1,0.8020023148148148,1,4,1
15,April_Check,C2-1,2014-03-10,19:14:55,1,0.8020023148148148,1,4,1
15,April_Check,C2-1,2014-03-10,19:14:56,1,0.8020023148148148,1,4,1
15,April_Check,C2-1,2014-03-10,19:14:57,1,0.8020023148148148,1,4,1
16,April_Check,C2-1,2014-04-18,17:54:46,1,0.7463657407407407,1,2,1
16,April_Check,C2-1,2014-04-18,17:54:47,1,0.7463657407407407,1,2,1
17,September_Check,C2-1,2014-06-14,01:04:36,1,0.04486111111111111,4,6,1
17,September_Check,C2-1,2014-06-14,01:04:37,3,0.04486111111111111,4,6,1
17,September_Check,C2-1,2014-06-14,01:04:37,4,0.04486111111111111,4,6,1
17,September_Check,C2-1,2014-06-14,01:04:38,3,0.04486111111111111,4,6,1
17,September_Check,C2-1,2014-06-14,01:04:39,4,0.04486111111111111,4,6,1
17,September_Check,C2-1,2014-06-14,01:04:44,1,0.04486111111111111,4,6,1
18,September_Check,C2-1,2014-06-17,18:18:41,2,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:42,2,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:43,3,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:44,3,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:44,3,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:49,2,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:50,2,0.762974537037037,3,8,1
18,September_Check,C2-1,2014-06-17,18:18:51,3,0.762974537037037,3,8,1
19,September_Check,C2-1,2014-07-04,19:43:50,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:43:51,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:43:52,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:43:53,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:43:54,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:01,3,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:02,4,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:03,4,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:04,3,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:05,3,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:10,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:11,1,0.8221064814814815,4,13,1
19,September_Check,C2-1,2014-07-04,19:44:12,1,0.8221064814814815,4,13,1
20,September_Check,C2-1,2014-07-07,19:19:05,5,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:19:06,5,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:19:07,5,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:19:08,5,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:19:08,5,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:20:09,1,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:20:09,1,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:20:10,1,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:20:11,1,0.8049189814814814,5,10,1
20,September_Check,C2-1,2014-07-07,19:20:12,1,0.8049189814814814,5,10,1
21,September_Check,C2-1,2014-07-29,04:01:35,1,0.1677662037037037,1,5,2
