episode,month_check,camera_id,date,max_count
140,April_Check,H5-1,2014-03-10,1
141,April_Check,H6-2,2013-11-04,1
142,April_Check,H6-2,2013-12-05,1
143,April_Check,H7-1,2013-10-26,1
144,April_Check,H7-1,2014-01-07,4
145,April_Check,H7-1,2014-01-07,3
146,April_Check,H7-1,2014-01-07,3
147,April_Check,H7-1,2014-01-07,2
148,April_Check,H7-1,2014-01-07,2
149,April_Check,H7-1,2014-01-07,1
150,April_Check,H7-1,2014-01-07,1
151,April_Check,H7-1,2014-01-12,1
152,April_Check,I2-1,2013-10-30,1
153,April_Check,I2-1,2013-10-31,1
154,April_Check,I2-1,2013-10-31,1
155,April_Check,I2-1,2013-11-07,1
156,April_Check,I2-1,2013-11-10,1
157,April_Check,I2-1,2013-11-22,6
158,April_Check,I2-1,2013-11-22,5
159,April_Check,I2-1,2013-11-22,4
160,April_Check,I2-1,2013-11-24,1
161,April_Check,I3-1,2013-11-10,1
162,April_Check,I3-1,2013-11-10,1
163,April_Check,I3-1,2013-12-01,4
164,April_Check,I3-1,2013-12-01,2
165,April_Check,I3-1,2013-12-01,1
166,April_Check,I3-1,2013-12-09,1
167,April_Check,I3-1,2013-12-11,1
168,April_Check,I3-1,2013-12-21,3
169,April_Check,I3-1,2014-03-09,1
170,April_Check,I3-1,2014-04-16,1
171,April_Check,I3-1,2014-04-19,1
172,April_Check,I5-3,2013-11-25,1
173,April_Check,I5-3,2013-12-09,1
174,April_Check,J2-1,2013-11-07,1
175,April_Check,J2-1,2013-12-12,1
176,April_Check,J2-1,2014-01-03,1
177,April_Check,J2-1,2014-01-07,2
178,April_Check,J2-1,2014-01-07,1
179,April_Check,J2-1,2014-01-20,1
180,April_Check,J2-1,2014-01-24,1
181,April_Check,J2-1,2014-01-27,1
182,April_Check,J2-1,2014-01-29,1
183,April_Check,J2-1,2014-02-01,1
184,April_Check,J2-1,2014-02-01,1
185,April_Check,J2-1,2014-02-02,1
186,April_Check,J2-1,2014-02-06,1
187,April_Check,J2-1,2014-02-10,1
188,April_Check,J2-1,2014-03-18,1
189,April_Check,J2-1,2014-03-23,1
190,April_Check,J2-1,2014-03-26,3
191,April_Check,J2-1,2014-03-26,2
192,April_Check,J2-1,2014-03-26,1
193,April_Check,J4-1,2013-11-10,1
194,April_Check,J4-1,2013-11-17,1
195,April_Check,J4-1,2013-11-22,1
196,April_Check,J4-1,2013-12-01,1
197,April_Check,J4-1,2013-12-11,1
198,April_Check,J4-1,2013-12-13,2
199,April_Check,J4-1,2013-12-19,1
200,April_Check,J4-1,2013-12-19,1
201,April_Check,J4-1,2013-12-19,1
202,April_Check,J4-1,2013-12-23,1
203,April_Check,J4-1,2013-12-24,1
204,April_Check,J4-1,2013-12-27,1
205,April_Check,J4-1,2014-01-18,1
206,April_Check,K3-1,2013-10-30,4
207,April_Check,K3-1,2013-10-30,3
208,April_Check,K3-1,2013-10-30,2
209,April_Check,K3-1,2013-10-30,1
210,April_Check,K3-1,2013-10-31,1
211,April_Check,K3-1,2013-10-31,1
212,April_Check,K3-1,2013-11-01,3
213,April_Check,K3-1,2013-11-01,1
214,April_Check,K3-1,2013-11-04,1
215,April_Check,K3-1,2013-11-04,1
216,April_Check,K3-1,2013-11-05,1
217,April_Check,K3-1,2013-11-05,1
218,April_Check,K3-1,2013-11-08,1
219,April_Check,K3-1,2013-11-26,1
220,April_Check,K3-1,2013-11-26,1
221,April_Check,K3-1,2013-11-30,3
222,April_Check,K3-1,2013-11-30,2
223,April_Check,K3-1,2013-11-30,1
224,April_Check,K3-1,2013-12-05,1
225,April_Check,K3-1,2013-12-12,1
226,April_Check,K3-1,2013-12-15,1
227,April_Check,K3-1,2013-12-15,1
228,April_Check,K3-1,2013-12-17,1
229,April_Check,K3-1,2013-12-18,1
230,April_Check,K3-1,2013-12-21,1
231,April_Check,K3-1,2013-12-24,2
232,April_Check,K3-1,2013-12-24,2
233,April_Check,K3-1,2013-12-24,1
234,April_Check,K3-1,2013-12-29,1
235,April_Check,K3-1,2013-12-29,1
236,April_Check,K5-1,2013-12-09,1
237,April_Check,K5-1,2013-12-17,1
238,April_Check,K5-1,2013-12-18,1
239,April_Check,K5-1,2013-12-22,1
240,April_Check,K5-1,2013-12-25,1
241,April_Check,K5-1,2014-01-06,1
242,April_Check,L3-1,2013-10-22,2
243,April_Check,L3-1,2013-10-22,1
244,April_Check,L3-1,2013-10-23,1
245,April_Check,L3-1,2013-10-23,4
246,April_Check,L3-1,2013-10-23,1
247,April_Check,L3-1,2013-10-23,2
248,April_Check,L3-1,2013-10-23,1
249,April_Check,L3-1,2013-10-23,1
250,April_Check,L3-1,2013-10-23,1
251,April_Check,L3-1,2013-10-23,1
252,April_Check,L3-1,2013-10-23,1
253,April_Check,L3-1,2013-10-24,1
254,April_Check,L3-1,2013-10-24,1
255,April_Check,L3-1,2013-10-24,2
256,April_Check,L3-1,2013-10-24,2
257,April_Check,L3-1,2013-10-24,1
258,April_Check,L3-1,2013-10-24,1
259,April_Check,L3-1,2013-10-25,1
260,April_Check,L3-1,2013-10-25,1
261,April_Check,L3-1,2013-10-25,1
262,April_Check,L3-1,2013-10-26,1
263,April_Check,L3-1,2013-10-26,1
264,April_Check,L3-1,2013-10-27,2
265,April_Check,L3-1,2013-10-27,1
266,April_Check,L3-1,2013-10-27,1
267,April_Check,L3-1,2013-10-28,1
268,April_Check,L3-1,2013-10-29,3
269,April_Check,L3-1,2013-10-29,3
270,April_Check,L3-1,2013-10-29,1
271,April_Check,L3-1,2013-10-29,1
272,April_Check,L3-1,2013-10-29,1
273,April_Check,L3-1,2013-10-30,1
274,April_Check,L3-1,2013-10-30,1
275,April_Check,L3-1,2013-10-31,2
276,April_Check,L3-1,2013-10-31,1
277,April_Check,L3-1,2013-10-31,2
278,April_Check,L3-1,2013-10-31,1
279,April_Check,L3-1,2013-10-31,1
280,April_Check,L3-1,2013-11-01,1
281,April_Check,L3-1,2013-11-02,2
282,April_Check,L3-1,2013-11-02,1
283,April_Check,L3-1,2013-11-02,1
284,April_Check,L3-1,2013-11-02,3
285,April_Check,L3-1,2013-11-02,2
286,April_Check,L3-1,2013-11-02,1
287,April_Check,L3-1,2013-11-02,1
288,April_Check,L3-1,2013-11-03,1
289,April_Check,L3-1,2013-11-04,1
290,April_Check,L3-1,2013-11-04,1
291,April_Check,L3-1,2013-11-04,1
292,April_Check,L3-1,2013-11-04,1
293,April_Check,L3-1,2013-11-05,1
294,April_Check,L3-1,2013-11-05,1
295,April_Check,L3-1,2013-11-06,1
296,April_Check,L3-1,2013-11-07,2
297,April_Check,L3-1,2013-11-07,2
298,April_Check,L3-1,2013-11-07,1
299,April_Check,L3-1,2013-11-07,1
300,April_Check,L3-1,2013-11-07,2
301,April_Check,L3-1,2013-11-08,2
302,April_Check,L3-1,2013-11-08,1
303,April_Check,L3-1,2013-11-08,1
304,April_Check,L3-1,2013-11-08,1
305,April_Check,L3-1,2013-11-09,1
306,April_Check,L3-1,2013-11-09,1
307,April_Check,L3-1,2013-11-11,1
308,April_Check,L3-1,2013-11-11,1
309,April_Check,L3-1,2013-11-12,2
310,April_Check,L3-1,2013-11-12,1
311,April_Check,L3-1,2013-11-12,1
312,April_Check,L3-1,2013-11-12,1
313,April_Check,L3-1,2013-11-13,1
314,April_Check,L3-1,2013-11-13,1
315,April_Check,L3-1,2013-11-13,1
316,April_Check,L3-1,2013-11-14,1
317,April_Check,L3-1,2013-11-14,1
318,April_Check,L3-1,2013-11-15,1
319,April_Check,L3-1,2013-11-15,1
320,April_Check,L3-1,2013-11-15,1
321,April_Check,L3-1,2013-11-15,1
322,April_Check,L3-1,2013-11-15,2
323,April_Check,L3-1,2013-11-15,2
324,April_Check,L3-1,2013-11-15,1
325,April_Check,L3-1,2013-11-16,1
326,April_Check,L3-1,2013-11-16,1
327,April_Check,L3-1,2013-11-17,1
328,April_Check,L3-1,2013-11-18,2
329,April_Check,L3-1,2013-11-18,1
330,April_Check,L3-1,2013-11-18,1
331,April_Check,L3-1,2013-11-19,1
332,April_Check,L3-1,2013-11-19,1
333,April_Check,L3-1,2013-11-19,1
334,April_Check,L3-1,2013-11-19,2
335,April_Check,L3-1,2013-11-19,1
336,April_Check,L3-1,2013-11-20,1
337,April_Check,L3-1,2013-11-20,1
338,April_Check,L3-1,2013-11-21,1
